index,F,E0,mag,vol,nFe,nCo,nS
960,-88.49958,-88.488744,17.9697,206.29,6,2,6
961,-42.009037,-42.003688,0.0159,117,2,1,4
962,-308.34708,-308.32355,43.2228,729.96,14,9,28
963,-75.453215,-75.447065,0.5579,185.13,4,2,6
964,-163.96982,-163.96023,3.9003,385.4,8,3,16
965,-36.811913,-36.809337,1.9327,92,1,2,3
966,-177.69267,-177.68073,4.2265,402.34,4,12,13
967,-82.716122,-82.714199,9.9318,134.52,6,2,4
968,-85.91444,-85.91031,2.1141,192.3,4,2,8
969,-132.18177,-132.17348,6.3576,247.64,8,4,8
970,-92.599593,-92.594082,0.0002,227.57,3,4,8
971,-57.868944,-57.863681,0,179,2,2,6
972,-95.892881,-95.88903,9.2704,221.99,6,1,8
973,-292.30619,-292.27874,23.9935,811.7,16,2,32
974,-233.48856,-233.47488,4.6643,631.8,3,14,24
975,-265.29975,-265.2855,32.4306,611.78,16,8,16
976,-224.0386,-224.02637,7.3215,488.79,4,16,16
977,-85.754973,-85.747701,6.3724,210.45,4,2,8
978,-62.919286,-62.916249,0.3452,131.39,1,5,4
979,-95.902006,-95.897929,9.5997,233.17,6,1,8
980,-472.67377,-472.65597,46.0107,1126.79,30,4,40
981,-97.677105,-97.667743,7.5731,367.67,4,4,8
982,-99.787736,-99.781635,3.7376,243.82,2,5,10
983,-88.988499,-88.981618,11.0164,165.42,2,8,4
984,-107.59821,-107.5897,16.9935,177.54,4,8,4
985,-24.623317,-24.619111,0.0293,61.58,1,1,2
986,-85.804603,-85.795457,7.699,276.27,4,1,10
987,-235.75861,-235.73853,9.6351,628.28,7,9,24
988,-50.74736,-50.740892,1.0957,132.5,2,2,4
989,-41.512654,-41.508895,0.5024,113.89,1,2,4
990,-41.034023,-41.028123,0.0666,119.31,1,2,4
991,-167.3059,-167.29567,1.3,402.25,4,8,16
992,-103.01754,-103.01227,7.8662,223.24,6,2,8
994,-73.09033,-73.077505,3.2198,208.58,1,4,8
995,-48.712722,-48.70889,0.001,121.91,1,3,4
996,-108.80104,-108.79235,0.2245,278.82,4,4,10
997,-52.174713,-52.167409,0.4629,100.64,4,1,3
998,-84.724679,-84.716874,20.5145,218.66,7,2,4
999,-334.16848,-334.14868,54.9795,533.68,20,16,12
1000,-40.650051,-40.646072,0.1413,103.94,1,2,4
1001,-50.071232,-50.069723,0.0155,168.17,2,1,6
1002,-163.86871,-163.86027,0,474.05,4,8,16
1003,-136.47681,-136.47328,0.7437,444.17,2,8,14
1004,-78.556149,-78.552434,12.1946,165.29,4,4,4
1005,-75.659587,-75.65563,1.1002,203.84,2,3,8
1006,-83.617978,-83.613185,2.7555,225.07,2,4,8
1007,-230.99669,-230.97194,15.1689,413.99,8,16,12
1008,-144.29902,-144.28816,0.5898,474.57,8,2,14
1010,-87.301488,-87.298472,6.0022,191.52,5,1,8
1011,-40.489968,-40.484231,0.8278,128.38,1,2,4
1012,-148.63345,-148.62087,6.4932,302.95,2,14,8
1013,-65.667467,-65.663187,0,200.2,2,2,8
1014,-128.49023,-128.48444,13.8367,248.87,4,8,8
1015,-70.849756,-70.843655,8.4325,162.58,2,4,6
1016,-42.680696,-42.67874,3.0797,100.5,2,1,4
1017,-116.05063,-116.04092,2.9971,291.46,2,6,12
1018,-132.13286,-132.12276,12.1042,271.08,8,4,8
1019,-113.24579,-113.23864,6.6914,238.1,4,6,8
1020,-93.172539,-93.162018,3.3457,211.75,2,6,8
1021,-171.0988,-171.0766,0.2221,392.79,4,12,12
1022,-97.453948,-97.442594,4.4289,374.97,4,4,8
1023,-308.60154,-308.58205,10.0046,904.63,3,20,32
1024,-566.74677,-566.71546,52.2857,1320.76,36,5,48
1025,-67.28951,-67.283842,3.5644,133.95,5,1,4
1026,-451.49876,-451.42106,0.0687,875.49,32,8,32
1027,-198.46075,-198.45079,17.9299,446.18,12,3,16
1028,-130.77364,-130.76482,0.6462,941.11,4,4,16
1029,-83.040965,-83.032815,1.704,234.96,2,4,8
1030,-133.80201,-133.79498,10.8756,332.94,6,4,12
1031,-99.283452,-99.273871,4.8521,261.4,4,4,8
1032,-49.865554,-49.861626,0.0001,121.69,2,2,4
1033,-36.679343,-36.676067,6.6787,85.26,2,1,3
1034,-53.809041,-53.802468,4.2113,144.31,2,2,5
1035,-152.81785,-152.80547,4.8525,368.23,8,4,12
1036,-328.50003,-328.48711,0.6097,927.03,8,16,32
1037,-99.049031,-99.042831,0,223.32,4,4,8
1038,-774.56757,-774.49023,1.7168,1135.02,78,18,4
1039,-469.29475,-469.24541,81.1871,942.1,24,24,24
1040,-79.753843,-79.74884,0.1246,209.18,1,5,8
1041,-247.16728,-247.15788,9.8896,629.12,14,3,24
1042,-51.08032,-51.077198,1.1469,121.71,3,1,4
1043,-82.627611,-82.622698,6.8484,132.28,6,2,4
1044,-103.13249,-103.12942,8.2295,222.9,6,2,8
1045,-108.69183,-108.68433,3.6169,286.15,4,4,10
1046,-56.318749,-56.312623,0.015,126.68,1,4,4
1047,-121.55107,-121.53977,5.466,176.01,11,4,1
1048,-90.892438,-90.87974,0.1569,126.72,9,2,1
1049,-172.30519,-172.29786,16.0128,445.56,8,4,16
1050,-799.14344,-799.04153,3.4945,1090.07,89,10,4
1051,-175.91484,-175.90127,12.0181,381.23,11,1,16
1052,-334.25721,-334.22545,72.521,533.47,8,36,4
