index,F,E0,mag,vol,nFe,nCo,nS,Eform,Ehull,Js
1044,-103.132490,-103.129420,8.229500,222.900000,6,2,8,-0.400967,0.128958,0.430270
1045,-108.691830,-108.684330,3.616900,286.150000,4,4,10,-0.364853,0.183959,0.147306
1046,-56.318749,-56.312623,0.015000,126.680000,1,4,4,-0.436131,0.120515,0.001380
1047,-121.551070,-121.539770,5.466000,176.010000,11,4,1,0.101254,0.268952,0.361918
1048,-90.892438,-90.879740,0.156900,126.720000,9,2,1,0.156016,0.310234,0.014430
1049,-172.305190,-172.297860,16.012800,445.560000,8,4,16,-0.433395,0.102901,0.418831
1050,-799.143440,-799.041530,3.494500,1090.070000,89,10,4,0.257321,0.337273,0.037360
1051,-175.914840,-175.901270,12.018100,381.230000,11,1,16,-0.409024,0.109360,0.367389
1052,-334.257210,-334.225450,72.521000,533.470000,8,36,4,-0.067053,0.097085,1.584277
1053,-300.738230,-300.712160,62.081600,517.640000,17,15,12,-0.146795,0.237006,1.397695
1054,-344.952280,-344.931500,29.102800,1132.910000,17,3,40,-0.294784,0.209647,0.299376
1055,-83.478807,-83.474779,1.050300,205.360000,2,4,8,-0.446470,0.104422,0.059604
1056,-93.785579,-93.779770,0.374800,225.600000,4,3,8,-0.454047,0.089997,0.019361
1057,-42.734025,-42.731940,0.361400,114.860000,2,1,4,-0.384463,0.151833,0.036669
1058,-58.168576,-58.157141,0.117700,129.380000,1,4,5,-0.163958,0.411942,0.010602
1059,-103.640730,-103.633550,1.984300,242.310000,8,1,7,-0.081553,0.386267,0.095436
1060,-277.675750,-277.651660,10.012700,594.170000,18,4,22,-0.216941,0.307285,0.196389
1061,-223.735590,-223.718910,3.057700,545.320000,7,10,20,-0.379078,0.177055,0.065346
1062,-49.940943,-49.938454,4.650400,107.010000,1,4,3,-0.210141,0.296278,0.506458
1063,-62.340945,-62.334901,10.609000,141.130000,4,1,5,-0.153153,0.372592,0.876057
1064,-108.562900,-108.556160,0.894200,295.750000,4,4,10,-0.357732,0.191080,0.035236
1065,-41.575695,-41.572906,0.621100,114.910000,1,2,4,-0.422973,0.127920,0.062991
1066,-249.415160,-249.400430,5.281200,618.050000,8,10,24,-0.354063,0.198155,0.099583
1067,-122.689850,-122.676800,11.599700,268.230000,2,12,6,0.069427,0.484610,0.503984
1068,-238.038260,-238.021870,0.337400,498.050000,2,18,20,-0.370221,0.214038,0.007895
1069,-108.156160,-108.146110,0.000600,251.350000,2,8,8,-0.187290,0.369356,0.000028
1071,-111.790880,-111.784270,18.939500,177.940000,7,5,4,-0.163219,0.194519,1.240430
1072,-59.476159,-59.472065,1.222000,134.860000,4,1,4,-0.310980,0.173455,0.105600
1073,-34.493252,-34.487084,8.851500,111.570000,1,3,2,0.458741,0.928434,0.924585
1074,-178.983780,-178.979390,0.000000,388.020000,10,4,14,-0.373010,0.159900,0.000000
1075,-280.083370,-280.076730,6.720200,920.830000,15,1,32,-0.339190,0.172531,0.085051
1076,-38.044472,-38.043513,0.871400,131.610000,1,1,6,0.242644,0.599099,0.077162
1077,-89.274786,-89.270170,7.287800,275.160000,2,4,10,-0.236609,0.270483,0.308666
1078,-23.908571,-23.905296,2.958700,64.470000,1,1,2,-0.110278,0.440545,0.534836
1079,-157.837830,-157.828080,0.731300,405.970000,3,8,16,-0.433184,0.098469,0.020993
1080,-57.606939,-57.602915,1.995100,90.030000,4,3,1,0.056915,0.318699,0.258259
1081,-246.126930,-246.108850,33.250500,601.690000,18,2,18,-0.218379,0.278999,0.644025
1082,-70.079280,-70.076069,15.404400,129.170000,6,2,2,0.185716,0.471820,1.389826
1083,-197.804310,-197.798370,1.044400,520.990000,10,3,20,-0.344552,0.184701,0.023362
1084,-48.474751,-48.471688,0.360800,122.750000,1,3,4,-0.371490,0.200230,0.034255
1085,-134.011150,-133.999450,5.305300,240.650000,8,4,8,-0.343880,0.120879,0.256922
1086,-42.193455,-42.188939,0.219100,118.680000,2,1,4,-0.306891,0.229405,0.021515
